character1,character2,lyric,song,act
ANGELICA,PEGGY,History is happening in Manhattan and we just happen to be,The Schuyler Sisters,1
ELIZA,ANGELICA,In the greatest city in the world!,The Schuyler Sisters,1
ELIZA,PEGGY,In the greatest city in the world!,The Schuyler Sisters,1
ANGELICA,PEGGY,In the greatest city in the world!,The Schuyler Sisters,1
ANGELICA,ELIZA,In the greatest city in the world!,The Schuyler Sisters,1
ANGELICA,PEGGY,In the greatest city in the world!,The Schuyler Sisters,1
ELIZA,PEGGY,In the greatest city in the world!,The Schuyler Sisters,1
ANGELICA,ELIZA,We hold these truths to be self evident that all men are created equal,The Schuyler Sisters,1
ANGELICA,PEGGY,We hold these truths to be self evident that all men are created equal,The Schuyler Sisters,1
ELIZA,PEGGY,We hold these truths to be self evident that all men are created equal,The Schuyler Sisters,1
ANGELICA,ELIZA,"""Whoo!","""",The Schuyler Sisters,1
ANGELICA,PEGGY,"""Whoo!","""",The Schuyler Sisters,1
ELIZA,PEGGY,"""Whoo!","""",The Schuyler Sisters,1
ELIZA,PEGGY,"Look around, look around",The Schuyler Sisters,1
ELIZA,PEGGY,The revolution's happening in-,The Schuyler Sisters,1
ELIZA,PEGGY,New York!,The Schuyler Sisters,1
ELIZA,PEGGY,In New York!,The Schuyler Sisters,1
ANGELICA,ELIZA,The Schuyler sisters!,The Schuyler Sisters,1
ANGELICA,PEGGY,The Schuyler sisters!,The Schuyler Sisters,1
ELIZA,PEGGY,The Schuyler sisters!,The Schuyler Sisters,1
ANGELICA,ELIZA,We're looking for a mind at work!,The Schuyler Sisters,1
ANGELICA,PEGGY,We're looking for a mind at work!,The Schuyler Sisters,1
ELIZA,PEGGY,We're looking for a mind at work!,The Schuyler Sisters,1
ANGELICA,ELIZA,Hey!,The Schuyler Sisters,1
ANGELICA,PEGGY,Hey!,The Schuyler Sisters,1
ELIZA,PEGGY,Hey!,The Schuyler Sisters,1
ANGELICA,ELIZA,Hey!,The Schuyler Sisters,1
ANGELICA,PEGGY,Hey!,The Schuyler Sisters,1
ELIZA,PEGGY,Hey!,The Schuyler Sisters,1
ELIZA,PEGGY,Hey! Hey! Hey! Hey! Hey!,The Schuyler Sisters,1
ELIZA,PEGGY,In the greatest,The Schuyler Sisters,1
ELIZA,PEGGY,City in the world,The Schuyler Sisters,1
SEABURY,HAMILTON,Scream-,Farmer Refuted,1
HAMILTON,BURR,Rise up!,Right Hand Man,1
HAMILTON,MULLIGAN,Rise up!,Right Hand Man,1
HAMILTON,LAURENS,Rise up!,Right Hand Man,1
HAMILTON,LAFAYETTE,Rise up!,Right Hand Man,1
BURR,MULLIGAN,Rise up!,Right Hand Man,1
BURR,LAURENS,Rise up!,Right Hand Man,1
BURR,LAFAYETTE,Rise up!,Right Hand Man,1
MULLIGAN,LAURENS,Rise up!,Right Hand Man,1
MULLIGAN,LAFAYETTE,Rise up!,Right Hand Man,1
LAURENS,LAFAYETTE,Rise up!,Right Hand Man,1
